[2025-03-03 17:16:23,147] __main__ - INFO - Starting pipeline...
[2025-03-03 17:16:26,339] __main__ - INFO - === Starting Round 1 ===
[2025-03-03 17:16:26,339] __main__ - INFO - Running ligand generation...
[2025-03-03 17:16:26,339] __main__ - INFO - Executing: cd /home/prog2_conrad/Development_modules/DiffSBDD && python generate_ligands.py /home/prog2_conrad/Development_modules/DiffSBDD/checkpoints/crossdocked_fullatom_cond.ckpt --pdbfile /home/prog2_conrad/Development_modules/input/NS5.pdb --outfile /home/prog2_conrad/Development_modules/NS5_large_test_run_PBS/ligand_generation/NS5_round1_mols_gen.sdf --resi_list A:719 A:770 A:841 A:856 A:887 A:888 --n_samples 50 --sanitize
Generating 50 ligands...

[2025-03-03 17:18:36,644] __main__ - INFO - Entropy of n_nodes: H[N] 9.266731262207031

[2025-03-03 17:18:40,291] __main__ - INFO - Lightning automatically upgraded your loaded checkpoint from v1.8.1 to v2.5.0.post0. To apply the upgrade to your files permanently, run `python -m pytorch_lightning.utilities.upgrade_checkpoint checkpoints/crossdocked_fullatom_cond.ckpt`

[2025-03-03 17:18:40,291] __main__ - INFO - /home/prog2_conrad/anaconda3/envs/sbdd_d24h/lib/python3.10/site-packages/openbabel/__init__.py:14: UserWarning: "import openbabel" is deprecated, instead use "from openbabel import openbabel"

[2025-03-03 17:18:40,291] __main__ - INFO -   warnings.warn('"import openbabel" is deprecated, instead use "from openbabel import openbabel"')

[2025-03-03 17:18:40,291] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 0 3

[2025-03-03 17:18:40,291] __main__ - INFO - [17:18:36] The 2 defining bonds for an atropisomer are co-planar - atoms are: 2 0

[2025-03-03 17:18:40,291] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 0 12

[2025-03-03 17:18:40,291] __main__ - INFO - [17:18:36] The 2 defining bonds for an atropisomer are co-planar - atoms are: 9 0

[2025-03-03 17:18:40,291] __main__ - INFO - [17:18:36] The 2 defining bonds for an atropisomer are co-planar - atoms are: 20 63

[2025-03-03 17:18:40,291] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 49 63

[2025-03-03 17:18:40,291] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 65 60

[2025-03-03 17:18:40,291] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 12 2

[2025-03-03 17:18:40,291] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 13 8

[2025-03-03 17:18:40,291] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 0 13

[2025-03-03 17:18:40,291] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 37 28

[2025-03-03 17:18:40,291] __main__ - INFO - [17:18:36] The 2 defining bonds for an atropisomer are co-planar - atoms are: 39 50

[2025-03-03 17:18:40,291] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 22 76

[2025-03-03 17:18:40,291] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 2 4

[2025-03-03 17:18:40,291] __main__ - INFO - [17:18:36] The 2 defining bonds for an atropisomer are co-planar - atoms are: 2 9

[2025-03-03 17:18:40,291] __main__ - INFO - [17:18:36] The 2 defining bonds for an atropisomer are co-planar - atoms are: 6 0

[2025-03-03 17:18:40,291] __main__ - INFO - [17:18:36] The 2 defining bonds for an atropisomer are co-planar - atoms are: 0 7

[2025-03-03 17:18:40,291] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 24 32

[2025-03-03 17:18:40,291] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 39 31

[2025-03-03 17:18:40,291] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 8 58

[2025-03-03 17:18:40,291] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 34 9

[2025-03-03 17:18:40,291] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 35 62

[2025-03-03 17:18:40,292] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 58 34

[2025-03-03 17:18:40,292] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 62 63

[2025-03-03 17:18:40,292] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 68 53

[2025-03-03 17:18:40,292] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 13 8

[2025-03-03 17:18:40,292] __main__ - INFO - [17:18:36] The 2 defining bonds for an atropisomer are co-planar - atoms are: 16 34

[2025-03-03 17:18:40,292] __main__ - INFO - [17:18:36] The 2 defining bonds for an atropisomer are co-planar - atoms are: 3 16

[2025-03-03 17:18:40,292] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 11 64

[2025-03-03 17:18:40,292] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 50 40

[2025-03-03 17:18:40,292] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 56 5

[2025-03-03 17:18:40,292] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 19 11

[2025-03-03 17:18:40,292] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 33 1

[2025-03-03 17:18:40,292] __main__ - INFO - [17:18:36] The 2 defining bonds for an atropisomer are co-planar - atoms are: 39 50

[2025-03-03 17:18:40,292] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 39 27

[2025-03-03 17:18:40,292] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 50 36

[2025-03-03 17:18:40,292] __main__ - INFO - [17:18:36] Both bonds on one end of an atropisomer are on the same side - atoms are: 50 27

[2025-03-03 17:18:40,312] __main__ - INFO - Finished generating ligands! (Time taken: 133.97 seconds)

[2025-03-03 17:18:40,312] __main__ - INFO - Ligand generation complete. Output: NS5_large_test_run_PBS/ligand_generation/NS5_round1_mols_gen.sdf
[2025-03-03 17:18:40,312] __main__ - INFO - Running energy minimization (multiple-ligand mode)...
[2025-03-03 17:18:40,313] __main__ - INFO - Splitting ligand file NS5_large_test_run_PBS/ligand_generation/NS5_round1_mols_gen.sdf into individual molecules...
[2025-03-03 17:18:41,492] pint.util - DEBUG - Changing app registry from <pint.registry.LazyRegistry object at 0x7ffeaf536d70> to <openff.units.units.UnitRegistry object at 0x7ffeae372500>.
[2025-03-03 17:19:27,356] energy_minimization - INFO - Generating system for NS5_round_1_ligand_0
[2025-03-03 17:19:28,493] openff.toolkit.typing.engines.smirnoff.parameters - INFO - Attempting to up-convert vdW section from 0.3 to 0.4
[2025-03-03 17:19:28,493] openff.toolkit.typing.engines.smirnoff.parameters - INFO - Successfully up-converted vdW section from 0.3 to 0.4. `method="cutoff"` is now split into `periodic_method="cutoff"` and `nonperiodic_method="no-cutoff"`.
[2025-03-03 17:19:28,501] openff.toolkit.typing.engines.smirnoff.parameters - INFO - Attempting to up-convert Electrostatics section from 0.3 to 0.4
[2025-03-03 17:19:28,501] openff.toolkit.typing.engines.smirnoff.parameters - INFO - Successfully up-converted Electrostatics section from 0.3 to 0.4. `method="PME"` is now split into `periodic_potential="Ewald3D-ConductingBoundary"`, `nonperiodic_potential="Coulomb"`, and `exception_potential="Coulomb"`.
